Date,Open,High,Low,Close,Adj Close,Volume
2013-03-11,20.055000,20.170000,19.150000,19.290001,18.412233,5724000
2013-03-18,19.129999,19.415001,18.205000,18.250000,17.419556,7690000
2013-03-25,18.475000,18.825001,18.120001,18.709999,17.858625,4090400
2013-04-01,18.684999,18.875000,17.875000,18.090000,17.266840,5796800
2013-04-08,18.155001,19.370001,18.084999,19.245001,18.369282,7657600
2013-04-15,19.145000,20.415001,19.000000,20.400000,19.471722,9137600
2013-04-22,20.695000,21.219999,20.510000,21.070000,20.111235,8849600
2013-04-29,21.065001,21.584999,20.795000,20.865000,19.915564,7686600
2013-05-06,20.844999,21.645000,20.825001,21.260000,20.292589,6304600
2013-05-13,21.120001,21.905001,20.950001,21.495001,20.516893,5090400
2013-05-20,21.459999,21.500000,20.405001,20.740000,19.796253,3510200
2013-05-27,20.985001,21.200001,20.000000,20.120001,19.204464,4904800
2013-06-03,20.100000,20.299999,19.340000,19.600000,18.708126,4059000
2013-06-10,19.490000,19.490000,18.395000,18.915001,18.054295,7953400
2013-06-17,19.035000,19.245001,17.365000,17.730000,17.059444,7930600
2013-06-24,17.575001,18.355000,16.950001,18.120001,17.434694,10338000
2013-07-01,18.225000,18.540001,17.540001,18.430000,17.732967,5886400
2013-07-08,18.320000,18.790001,17.770000,18.684999,17.978327,5493600
2013-07-15,18.760000,19.059999,17.754999,18.905001,18.190006,10449400
2013-07-22,18.900000,19.014999,17.469999,17.620001,16.953606,7311200
2013-07-29,17.504999,17.719999,16.389999,16.674999,16.044346,9032600
2013-08-05,16.695000,16.780001,15.480000,15.725000,15.130275,12319800
2013-08-12,15.690000,16.320000,15.125000,15.295000,14.716537,7739800
2013-08-19,14.995000,15.450000,14.590000,15.050000,14.480803,9857200
2013-08-26,15.140000,15.140000,13.310000,14.490000,13.941983,12949000
2013-09-02,13.940000,15.845000,13.505000,15.360000,14.779078,16678600
2013-09-09,15.500000,16.295000,15.295000,15.960000,15.356387,10557400
2013-09-16,16.250000,17.650000,16.020000,16.275000,15.659473,9113800
2013-09-23,15.910000,16.334999,15.530000,15.675000,15.082167,7030600
2013-09-30,15.295000,16.940001,15.115000,16.655001,16.025101,12143200
2013-10-07,16.700001,16.870001,15.995000,16.870001,16.231968,15064400
2013-10-14,16.850000,17.465000,16.290001,17.424999,16.765978,7729600
2013-10-21,17.375000,17.745001,17.014999,17.540001,16.876633,7659600
2013-10-28,17.445000,18.400000,17.350000,17.975000,17.295179,7982800
2013-11-04,17.945000,18.235001,16.379999,16.655001,16.025101,8006600
2013-11-11,16.655001,16.665001,15.815000,16.594999,15.967370,7216800
2013-11-18,17.055000,17.150000,15.870000,16.465000,15.842287,8054000
2013-11-25,16.764999,16.865000,16.215000,16.590000,15.962561,5017600
2013-12-02,16.584999,17.920000,16.290001,17.855000,17.179714,10151600
2013-12-09,17.995001,18.410000,17.010000,17.049999,16.405159,10568000
2013-12-16,17.215000,17.940001,16.705000,17.055000,16.409975,18327800
2013-12-23,17.275000,17.465000,16.945000,17.190001,16.539869,5142000
2013-12-30,17.235001,17.450001,16.719999,16.889999,16.251215,3107200
2014-01-06,16.825001,17.690001,16.705000,16.865000,16.227158,8754400
2014-01-13,17.100000,17.785000,16.985001,17.075001,16.429216,8960200
2014-01-20,17.375000,17.504999,16.075001,16.155001,15.544012,10535800
2014-01-27,16.020000,16.125000,15.350000,15.645000,15.053301,10321000
2014-02-03,15.695000,16.285000,15.285000,16.150000,15.539202,7108600
2014-02-10,16.125000,16.795000,16.110001,16.485001,15.861532,8600600
2014-02-17,16.719999,16.930000,16.485001,16.514999,15.890394,5017800
2014-02-24,16.740000,17.135000,16.594999,16.795000,16.159809,9425400
2014-03-03,16.615000,18.965000,16.400000,18.665001,17.959084,15055600
2014-03-10,18.780001,19.200001,18.549999,19.000000,18.281412,20239200
2014-03-17,19.075001,19.430000,18.930000,19.240000,18.512339,20383000
2014-03-24,19.575001,20.485001,19.355000,20.195000,19.431217,14174200
2014-03-31,20.420000,20.754999,20.139999,20.215000,19.450460,14088800
2014-04-07,20.170000,20.830000,20.030001,20.555000,19.777605,11030200
2014-04-14,20.605000,20.780001,19.945000,20.385000,19.614029,8987200
2014-04-21,20.320000,20.389999,19.795000,19.840000,19.089643,8801600
2014-04-28,19.674999,20.400000,19.635000,20.155001,19.392733,7693800
2014-05-05,19.900000,22.059999,19.855000,21.900000,21.071735,9257600
2014-05-12,22.740000,23.115000,21.434999,23.090000,22.216724,15907800
2014-05-19,22.889999,23.655001,22.790001,22.825001,21.961750,12095600
2014-05-26,22.885000,23.055000,22.420000,22.514999,21.663477,17104000
2014-06-02,22.945000,23.820000,22.945000,23.660000,22.765169,9590200
2014-06-09,23.665001,24.375000,23.270000,23.665001,22.769981,9377400
2014-06-16,23.690001,23.780001,23.035000,23.225000,22.346622,9116200
2014-06-23,23.355000,23.700001,22.740000,23.209999,22.332188,7229600
2014-06-30,23.225000,24.910000,23.040001,24.834999,24.078379,7806800
2014-07-07,24.514999,24.725000,23.049999,23.235001,22.527124,8038600
2014-07-14,23.530001,24.360001,23.205000,24.139999,23.404551,8400400
2014-07-21,23.990000,24.700001,23.730000,24.120001,23.385164,7089000
2014-07-28,24.155001,24.820000,23.415001,23.680000,22.958569,6988400
2014-08-04,23.520000,24.049999,22.780001,23.184999,22.478647,9329000
2014-08-11,23.165001,24.860001,23.155001,24.760000,24.005665,9593200
2014-08-18,24.895000,25.145000,24.445000,24.475000,23.729349,6453600
2014-08-25,24.600000,24.879999,24.270000,24.844999,24.088074,5404600
2014-09-01,25.065001,25.834999,24.995001,25.535000,24.757051,5819000
2014-09-08,25.610001,25.719999,24.565001,24.650000,23.899015,6483800
2014-09-15,24.705000,24.780001,23.815001,24.030001,23.297905,11997200
2014-09-22,23.875000,24.125000,23.174999,24.035000,23.302753,8367400
2014-09-29,23.530001,23.545000,22.780001,22.990000,22.289589,7879200
2014-10-06,23.195000,24.215000,23.090000,23.525000,22.808290,7923800
2014-10-13,23.820000,24.620001,23.660000,24.450001,23.705109,7908800
2014-10-20,24.830000,25.350000,24.625000,24.889999,24.131702,7868000
2014-10-27,24.684999,26.270000,24.625000,26.215000,25.416338,6377000
2014-11-03,26.200001,26.735001,25.825001,25.920000,25.130322,5906000
2014-11-10,26.075001,26.340000,25.424999,26.080000,25.285450,6217200
2014-11-17,26.000000,27.055000,25.670000,26.799999,25.983513,7023200
2014-11-24,26.985001,27.370001,25.555000,26.645000,25.833237,16088000
2014-12-01,26.555000,26.555000,25.120001,25.555000,24.776445,12739600
2014-12-08,25.450001,25.879999,24.865000,24.875000,24.117161,6678800
2014-12-15,24.900000,26.205000,23.799999,25.344999,24.572842,10659000
2014-12-22,25.635000,25.790001,25.055000,25.180000,24.412868,2207800
2014-12-29,25.155001,26.139999,25.025000,25.990000,25.198191,3392000
2015-01-05,25.680000,26.600000,24.660000,26.280001,25.479355,8710600
2015-01-12,26.440001,28.500000,25.530001,28.500000,27.631721,13104600
2015-01-19,28.745001,30.715000,28.745001,30.549999,29.619267,11024200
2015-01-26,30.684999,31.049999,28.459999,28.490000,27.622026,13385600
2015-02-02,28.820000,29.344999,28.219999,28.455000,27.588091,32637600
2015-02-09,28.105000,30.059999,27.860001,29.205000,28.315243,13373600
2015-02-16,29.245001,29.905001,28.959999,29.825001,28.916355,9160200
